iter	Passed	Remaining
0	60	60133
1	60	30207
2	60	20221
3	61	15231
4	61	12233
5	61	10236
6	62	8808
7	62	7737
8	62	6906
9	63	6238
10	63	5692
11	63	5240
12	63	4854
13	64	4524
14	64	4241
15	64	3989
16	65	3769
17	65	3573
18	65	3399
19	66	3242
20	66	3099
21	66	2972
22	67	2853
23	67	2743
24	67	2643
25	68	2550
26	68	2464
27	68	2385
28	69	2310
29	69	2241
30	69	2176
31	69	2115
32	70	2057
33	70	2005
34	70	1954
35	71	1905
36	71	1860
37	71	1817
38	72	1776
39	72	1737
40	72	1701
41	73	1665
42	73	1631
43	73	1599
44	73	1568
45	74	1539
46	74	1510
47	74	1483
48	75	1456
49	75	1431
50	75	1407
51	75	1383
52	76	1360
53	76	1339
54	76	1318
55	77	1298
56	77	1278
57	77	1259
58	77	1241
59	78	1224
60	78	1207
61	78	1190
62	78	1174
63	79	1158
64	79	1143
65	79	1129
66	80	1114
67	80	1098
68	80	1085
69	80	1072
70	80	1059
71	81	1047
72	81	1035
73	81	1023
74	82	1012
75	82	1000
76	82	989
77	82	979
78	83	968
79	83	959
80	83	949
81	83	939
82	84	930
83	84	921
84	84	911
85	85	904
86	85	894
87	85	886
88	85	877
89	86	869
90	86	861
91	86	854
92	86	847
93	87	839
94	87	832
95	87	825
96	87	818
97	88	812
98	88	805
99	88	798
100	89	792
101	89	784
102	89	778
103	89	772
104	89	766
105	90	760
106	90	754
107	90	748
108	90	743
109	91	738
110	91	732
111	91	727
112	91	721
113	92	716
114	92	711
115	92	706
116	92	700
117	93	696
118	93	690
119	93	686
120	93	681
121	94	677
122	94	671
123	94	666
124	94	662
125	94	658
126	95	653
127	95	648
128	95	644
129	95	640
130	96	636
131	96	633
132	96	629
133	96	625
134	97	621
135	97	617
136	97	614
137	97	610
138	97	606
139	98	602
140	98	599
141	98	596
142	98	592
143	99	589
144	99	586
145	99	582
146	99	580
147	100	577
148	100	574
149	100	571
150	101	568
151	101	565
152	101	562
153	101	559
154	102	556
155	102	554
156	102	551
157	102	548
158	103	545
159	103	543
160	103	540
161	103	537
162	104	535
163	104	532
164	104	530
165	104	527
166	105	524
167	105	522
168	105	519
169	105	517
170	106	514
171	106	512
172	106	510
173	106	507
174	107	505
175	107	503
176	107	501
177	108	498
178	108	496
179	108	494
180	108	491
181	108	489
182	109	487
183	109	484
184	109	482
185	109	480
186	110	478
187	110	476
188	110	474
189	110	472
190	111	470
191	111	468
192	111	466
193	111	464
194	112	462
195	112	461
196	112	459
197	112	457
198	113	455
199	113	453
200	113	451
201	113	449
202	114	448
203	114	446
204	114	444
205	114	442
206	115	441
207	115	439
208	115	437
209	115	436
210	116	434
211	116	432
212	116	431
213	116	429
214	117	427
215	117	426
216	117	424
217	117	423
218	118	421
219	118	419
220	118	418
221	118	416
222	119	415
223	119	413
224	119	412
225	119	410
